market,rank,account,name,account_value,pnl_month,roi_month,volume_month,pnl_per_volume,pnl_all_time,roi_all_time,position_count,position_notional,position_upnl,margin_used,top_position_coin,top_position_value,top_position_share,top_position_leverage,fill_count_recent,fill_count_capped_at_2000,fill_coin_count,dominant_fill_coin,dominant_fill_share,fill_notional_recent,fees_recent,fee_bps_recent,fill_start,fill_end,fill_dirs,classification,excluded,classification_reasons,data_source,not_trade_recommended
hyperliquid,16,0x77375a8c9d13bf79afb2a87f1b0ac1dfd5f5bf66,,39106256.890435,7524054.741804,1.63324295,322821475.87,0.02330717,44030732.880435,12.23422683,5,29727457.0023,4575919.178862,3845798.14036,LIT,10513981.1059,0.353679,5.0,2000,True,59,CHIP,0.195,10999681.438513,1769.180307,1.608392,2026-04-29T20:34:23.137000+00:00,2026-07-01T16:50:06.943000+00:00,"{""Buy"": 24, ""Close Long"": 409, ""Close Short"": 917, ""Open Long"": 355, ""Open Short"": 280, ""Sell"": 13, ""Settlement"": 2}",E_hl_high_turnover_multi_asset,False,many recent fills; multi-asset recent activity; multiple active positions; fills not fully dominated by a single coin,fresh_api:fresh_public_detail,True
hyperliquid,17,0xfe7ce058edc7cfcde9ef8262ba51f8d4796ab7ae,,16976595.911925,7220571.794741,0.25499015,144511740.06,0.0499653,6765736.351925,0.23004212,5,7664707.94423,1762098.085957,781560.03251,NEAR,6147123.6167,0.802004,10.0,2000,True,11,xyz:SKHX,0.781,5672838.27846,231.019764,0.407238,2026-07-01T17:15:11.560000+00:00,2026-07-02T10:03:59.777000+00:00,"{""Close Long"": 8, ""Close Short"": 297, ""Open Long"": 128, ""Open Short"": 1567}",E_hl_high_turnover_multi_asset,False,many recent fills; multi-asset recent activity; multiple active positions,fresh_api:fresh_public_detail,True
hyperliquid,18,0xb3bd5fafb3dcb7ff0d27a6dcdb1974a2f8ac221d,,66380005.7812,7162354.8812,0.12094966,0.0,0.0,7162354.8812,0.12094966,0,0,0,0.0,,0.0,0.0,0.0,0,False,0,,0.0,0.0,0.0,0.0,,,{},F_anomaly_excluded,True,positive PnL with zero/invalid monthly volume,fresh_api:fresh_public_detail,True
hyperliquid,19,0xcf90cfecf74e631feea816d02e757c0c8e895c0e,,15501872.858095,7121404.113188,0.84976203,96031964.02,0.0741566,4358729.24223,0.39115797,1,46670440.65727,5901512.12693,15024521.079247,BTC,46670440.65727,1.0,15.0,2000,True,2,BTC,0.86,63593081.04865,20276.938804,3.188545,2026-06-02T13:31:37.342000+00:00,2026-06-02T13:39:37.390000+00:00,"{""Close Short"": 280, ""Open Short"": 1720}",D_hl_concentrated_directional,False,few active positions; top position dominates current notional; recent fills concentrated in one coin,fresh_api:fresh_public_detail,True
hyperliquid,20,0x32008fcb6bbd16532afc83ca8b6c920dde22c407,,13933315.876565,6023347.455161,0.54713843,400882549.35,0.01502522,-3651326.363435,-0.17074526,3,30137806.36469,3767686.262865,1949065.635659,BTC,20326377.28819,0.674448,21.0,2000,True,9,xyz:NATGAS,0.2525,19642022.092154,1784.554681,0.908539,2026-06-29T19:11:07.583000+00:00,2026-07-01T20:22:58.788000+00:00,"{""Close Long"": 231, ""Open Long"": 1269, ""Open Short"": 500}",E_hl_high_turnover_multi_asset,False,many recent fills; multi-asset recent activity; fills not fully dominated by a single coin,fresh_api:fresh_public_detail,True
hyperliquid,21,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,,30445357.626146,5673992.745716,0.62998791,50649244.16,0.11202522,183261834.196221,0.56678088,9,23586883.208907,-276505.885045,4363113.019057,HYPE,18222503.16835,0.772569,5.0,2000,True,3,ETH,0.987,3608434.58641,905.325232,2.508914,2026-06-29T07:39:09.523000+00:00,2026-07-02T09:31:37.264000+00:00,"{""Close Short"": 1940, ""Open Long"": 46, ""Open Short"": 13, ""Short > Long"": 1}",E_hl_high_turnover_multi_asset,False,active recent trading; several traded assets,fresh_api:fresh_public_detail,True
hyperliquid,22,0x0b8aa35c28b7c6ab18f11dc168f437a8a69fd4f8,,32751470.809037,5199749.298032,0.37383462,921073620.75,0.00564531,3521544.029037,0.0995907,1,6428821.425,-3182477.32541,642882.1425,HYPE,6428821.425,1.0,10.0,2000,True,8,HYPE,0.653,2817342.5925,340.73016,1.209403,2026-02-08T12:42:02.266000+00:00,2026-06-02T09:33:04.148000+00:00,"{""Buy"": 588, ""Close Long"": 7, ""Close Short"": 4, ""Open Long"": 89, ""Open Short"": 1312}",D_hl_concentrated_directional,False,few active positions; top position dominates current notional,fresh_api:fresh_public_detail,True
hyperliquid,23,0x0ad9e656d9e6211d0ea1c5462342e1fc94cc4cbf,,10179435.419858,5179438.629858,0.25897194,233763073.2,0.02215679,5179438.629858,0.25897194,1,7512632.57628,258182.063822,1252105.42938,BTC,7512632.57628,1.0,6.0,2000,True,4,xyz:SKHX,0.58,5363087.0181,163.648474,0.305139,2026-07-01T09:07:57.480000+00:00,2026-07-01T09:40:50.136000+00:00,"{""Close Short"": 20, ""Long > Short"": 1, ""Open Short"": 1979}",D_hl_concentrated_directional,False,few active positions; top position dominates current notional,fresh_api:fresh_public_detail,True
hyperliquid,24,0x9e8b1e51c642f4c8b87c6ba11c53d516a218afc4,,10718409.87631,5118229.779154,1.03180583,430677750.88,0.01188413,24165483.86631,70.08413601,0,0,0,0.0,,0.0,0.0,0.0,2000,True,5,xyz:MU,0.465,16599184.520196,3198.321951,1.926795,2026-06-26T14:06:53.227000+00:00,2026-07-02T07:02:57.736000+00:00,"{""Close Long"": 338, ""Close Short"": 776, ""Open Long"": 592, ""Open Short"": 293, ""Sell"": 1}",E_hl_high_turnover_multi_asset,False,many recent fills; multi-asset recent activity; fills not fully dominated by a single coin,fresh_api:fresh_public_detail,True
hyperliquid,25,0x64a4fbb71858f681f3fa10a42b34180a9a48088d,,21811592.511215,4849036.385878,0.37048151,252962307.52,0.01916901,2502714.161215,0.07070158,0,0,0,0.0,,0.0,0.0,0.0,2000,True,11,@243,0.7565,3201399.968756,5085.449013,15.885079,2026-02-02T11:01:53.279000+00:00,2026-06-04T04:25:01.131000+00:00,"{""Buy"": 968, ""Close Long"": 11, ""Close Short"": 338, ""Open Long"": 16, ""Open Short"": 102, ""Sell"": 560, ""Spot Dust Conversion"": 5}",E_hl_high_turnover_multi_asset,False,many recent fills; multi-asset recent activity,fresh_api:fresh_public_detail,True
hyperliquid,26,0x936cf4fb95c30ce83f658b5bbb247e4bb381bb0f,,10917697.755198,4360210.966689,0.22366999,448132261.18,0.00972974,9016494.097138,0.4256641,17,14781722.511765,119259.772855,812216.758109,BTC,8873738.41272,0.600318,20.0,2000,True,15,LIT,0.273,380801.715947,33.246361,0.873062,2026-07-02T05:06:51.763000+00:00,2026-07-02T10:19:03.470000+00:00,"{""Close Long"": 29, ""Close Short"": 805, ""Long > Short"": 2, ""Open Long"": 6, ""Open Short"": 1157, ""Short > Long"": 1}",E_hl_high_turnover_multi_asset,False,many recent fills; multi-asset recent activity; multiple active positions; fills not fully dominated by a single coin,fresh_api:fresh_public_detail,True
hyperliquid,27,0x60a8c761f39696b3b419f31dcda20b405cb685f6,,32824630.243873,4231021.668711,0.29182912,16719468.48,0.25305958,3913436.954645,0.26413819,2,1283.555482,-115.448831,64.178498,BTC,1283.541,0.999989,20.0,2000,True,2,xyz:SPCX,0.9155,1807382.5399,54.220083,0.299992,2026-06-24T07:20:37.009000+00:00,2026-07-01T11:33:51.008000+00:00,"{""Close Short"": 1831, ""Open Short"": 169}",D_hl_concentrated_directional,False,few active positions; top position dominates current notional; recent fills concentrated in one coin,fresh_api:fresh_public_detail,True
hyperliquid,28,0xa31441e058492bc7cfffda9aa7623c407ae83a81,,15243261.549736,3726203.907893,0.33680194,364134021.78,0.01023306,10685321.661827,1.2135089,0,0,0,0.0,,0.0,0.0,0.0,2000,True,11,xyz:WDC,0.3715,7337068.884727,438.276613,0.597346,2026-07-01T17:45:01.475000+00:00,2026-07-02T09:51:45.221000+00:00,"{""Close Long"": 743, ""Close Short"": 327, ""Open Long"": 224, ""Open Short"": 706}",E_hl_high_turnover_multi_asset,False,many recent fills; multi-asset recent activity; fills not fully dominated by a single coin,fresh_api:fresh_public_detail,True
hyperliquid,29,0xcf5343ba750a6e30afbb1dadda08bc78f8c8ee11,,13899255.15397,3674121.469121,0.66524957,67355776.22,0.05454798,3899250.55397,0.38992488,4,8064750.31856,1320713.698737,2021814.882426,ETH,7693762.36992,0.953999,4.0,2000,True,12,xyz:SKHX,0.4275,8122416.149536,501.39285,0.617295,2026-06-23T13:59:17.047000+00:00,2026-07-02T08:45:31.892000+00:00,"{""Close Long"": 111, ""Close Short"": 791, ""Long > Short"": 1, ""Open Long"": 78, ""Open Short"": 1017, ""Short > Long"": 2}",E_hl_high_turnover_multi_asset,False,many recent fills; multi-asset recent activity; fills not fully dominated by a single coin,fresh_api:fresh_public_detail,True
hyperliquid,30,0x218a65e21eddeece7a9df38c6bbdd89f692b7da2,,1692569.429127,3672997.875793,0.83477645,25670540.32,0.14308222,12029817.659127,1.03137061,1,8614154.50116,2343932.307461,1605016.404121,BTC,8614154.50116,1.0,8.0,2000,True,2,ETH,0.587,40550493.34566,6248.361872,1.540884,2026-05-03T12:39:58.054000+00:00,2026-06-28T18:00:50.706000+00:00,"{""Close Short"": 1249, ""Open Short"": 751}",D_hl_concentrated_directional,False,few active positions; top position dominates current notional,fresh_api:fresh_public_detail,True
hyperliquid,31,0x3dc908374e11623d8eb9f07dfc7a2e5e803a54b0,,22928474.812894,3580064.058815,0.42230815,38433401.02,0.09314981,4728176.632894,0.13697532,0,0,0,0.0,,0.0,0.0,0.0,0,False,0,,0.0,0.0,0.0,0.0,,,{},F_anomaly_or_incomplete_excluded,True,PnL present but no public positions or fills fetched,fresh_api:fresh_public_detail,True
hyperliquid,32,0x091159a8106b077c13e89bc09701117e8b5f129a,,8925412.335649,3525525.158996,0.65288867,430463161.16,0.00819007,10259175.915649,2.01128762,0,0,0,0.0,,0.0,0.0,0.0,0,False,0,,0.0,0.0,0.0,0.0,,,{},F_anomaly_or_incomplete_excluded,True,PnL present but no public positions or fills fetched,fresh_api:fresh_public_detail,True
