account,account_value,classification,classification_reasons,closed_count,closed_realized_sum,current_position_cost,current_position_count,current_position_value,data_source,dominant_fill_coin,dominant_fill_share,excluded,fee_bps_recent,fees_recent,fill_coin_count,fill_count_capped_at_2000,fill_count_recent,fill_dirs,fill_end,fill_notional_recent,fill_start,join_date,largest_win,largest_win_to_pnl,margin_used,market,name,negative_risk_count_sample,not_trade_recommended,pnl_all_time,pnl_month,pnl_per_volume,position_count,position_notional,position_upnl,rank,roi_all_time,roi_month,top_closed_outcome,top_closed_realized,top_closed_share_of_positive_closed,top_closed_title,top_position_coin,top_position_leverage,top_position_share,top_position_value,trade_count,unique_event_count_sample,volume_month
0x60a8c761f39696b3b419f31dcda20b405cb685f6,32824630.243873,D_hl_concentrated_directional,few active positions; top position dominates current notional; recent fills concentrated in one coin,,,,,,fresh_api:fresh_public_detail,xyz:SPCX,0.9155,False,0.299992,54.220083,2,True,2000,"{""Close Short"": 1831, ""Open Short"": 169}",2026-07-01T11:33:51.008000+00:00,1807382.5399,2026-06-24T07:20:37.009000+00:00,,,,64.178498,hyperliquid,,,True,3913436.954645,4231021.668711,0.25305958,2,1283.555482,-115.448831,27,0.26413819,0.29182912,,,,,BTC,20.0,0.999989,1283.541,,,16719468.48
0xa31441e058492bc7cfffda9aa7623c407ae83a81,15243261.549736,E_hl_high_turnover_multi_asset,many recent fills; multi-asset recent activity; fills not fully dominated by a single coin,,,,,,fresh_api:fresh_public_detail,xyz:WDC,0.3715,False,0.597346,438.276613,11,True,2000,"{""Close Long"": 743, ""Close Short"": 327, ""Open Long"": 224, ""Open Short"": 706}",2026-07-02T09:51:45.221000+00:00,7337068.884727,2026-07-01T17:45:01.475000+00:00,,,,0.0,hyperliquid,,,True,10685321.661827,3726203.907893,0.01023306,0,0,0,28,1.2135089,0.33680194,,,,,,0.0,0.0,0.0,,,364134021.78
0xcf5343ba750a6e30afbb1dadda08bc78f8c8ee11,13899255.15397,E_hl_high_turnover_multi_asset,many recent fills; multi-asset recent activity; fills not fully dominated by a single coin,,,,,,fresh_api:fresh_public_detail,xyz:SKHX,0.4275,False,0.617295,501.39285,12,True,2000,"{""Close Long"": 111, ""Close Short"": 791, ""Long > Short"": 1, ""Open Long"": 78, ""Open Short"": 1017, ""Short > Long"": 2}",2026-07-02T08:45:31.892000+00:00,8122416.149536,2026-06-23T13:59:17.047000+00:00,,,,2021814.882426,hyperliquid,,,True,3899250.55397,3674121.469121,0.05454798,4,8064750.31856,1320713.698737,29,0.38992488,0.66524957,,,,,ETH,4.0,0.953999,7693762.36992,,,67355776.22
0x218a65e21eddeece7a9df38c6bbdd89f692b7da2,1692569.429127,D_hl_concentrated_directional,few active positions; top position dominates current notional,,,,,,fresh_api:fresh_public_detail,ETH,0.587,False,1.540884,6248.361872,2,True,2000,"{""Close Short"": 1249, ""Open Short"": 751}",2026-06-28T18:00:50.706000+00:00,40550493.34566,2026-05-03T12:39:58.054000+00:00,,,,1605016.404121,hyperliquid,,,True,12029817.659127,3672997.875793,0.14308222,1,8614154.50116,2343932.307461,30,1.03137061,0.83477645,,,,,BTC,8.0,1.0,8614154.50116,,,25670540.32
0x3dc908374e11623d8eb9f07dfc7a2e5e803a54b0,22928474.812894,F_anomaly_or_incomplete_excluded,PnL present but no public positions or fills fetched,,,,,,fresh_api:fresh_public_detail,,0.0,True,0.0,0.0,0,False,0,{},,0.0,,,,,0.0,hyperliquid,,,True,4728176.632894,3580064.058815,0.09314981,0,0,0,31,0.13697532,0.42230815,,,,,,0.0,0.0,0.0,,,38433401.02
0x091159a8106b077c13e89bc09701117e8b5f129a,8925412.335649,F_anomaly_or_incomplete_excluded,PnL present but no public positions or fills fetched,,,,,,fresh_api:fresh_public_detail,,0.0,True,0.0,0.0,0,False,0,{},,0.0,,,,,0.0,hyperliquid,,,True,10259175.915649,3525525.158996,0.00819007,0,0,0,32,2.01128762,0.65288867,,,,,,0.0,0.0,0.0,,,430463161.16
0xb798aef79972ce8f73d47b9ebbcda6bbb7ec4fbf,8968885.205322,F_anomaly_or_incomplete_excluded,PnL present but no public positions or fills fetched,,,,,,fresh_api:fresh_public_detail,,0.0,True,0.0,0.0,0,False,0,{},,0.0,,,,,0.0,hyperliquid,lmlmlm,,True,10054217.635322,3370430.091378,0.10958641,0,0,0,33,1.49122681,0.29045758,,,,,,0.0,0.0,0.0,,,30755912.86
0xefd3ab65915e35105caa462442c9ecc1346728df,76830.892369,F_anomaly_or_incomplete_excluded,PnL present but no public positions or fills fetched,,,,,,fresh_api:fresh_public_detail,,0.0,True,0.0,0.0,0,False,0,{},,0.0,,,,,0.0,hyperliquid,2 frères 2 fauves,,True,-3514774.774494,3327837.097933,0.00543961,0,0,0,34,-0.10328481,0.12530394,,,,,,0.0,0.0,0.0,,,611778795.65
0x9cd0a696c7cbb9d44de99268194cb08e5684e5fe,332452.113737,F_anomaly_or_incomplete_excluded,PnL present but no public positions or fills fetched,,,,,,fresh_api:fresh_public_detail,,0.0,True,0.0,0.0,0,False,0,{},,0.0,,,,,0.0,hyperliquid,,,True,12175734.623646,3225238.940628,19301.25039275,0,0,0,35,121757.34623646,0.36543074,,,,,,0.0,0.0,0.0,,,167.1
0xbcd420d13362532756c968f663f96ba95e240dd2,5229009.754105,F_detail_pending_excluded,top100 leaderboard row read; public position/fill detail deferred to deep-dive sessions,,,,,,fresh_api:leaderboard_only_detail_pending,,0.0,True,0.0,0.0,0,False,0,{},,0.0,,,,,0.0,hyperliquid,,,True,7032780.625558,3177368.7145,0.01435524,0,0,0,36,1.12630015,0.61355498,,,,,,0.0,0.0,0.0,,,221338567.11
